Location,Date,Temperature,Humidity,Precipitation,Wind Speed,Weather Forecast
Arunachal Pradesh,2019-06-01,32.1,96,132.9,10.5,Cloudy
Assam,2021-03-01,11.7,56,97.9,11.4,Rainy
Karnataka,2007-10-01,11.7,82,0.4,8.8,Foggy
Goa,2022-06-01,20.6,35,111.3,11.8,Stormy
Tamil Nadu,2023-09-01,37.8,100,112.9,10.3,Sunny
Maharashtra,2005-03-01,16.1,73,56.6,7.2,Foggy
Mizoram,2019-11-01,25.3,28,134.9,13.5,Sunny
West Bengal,2007-12-01,18.2,91,34.4,5.1,Sunny
Punjab,2022-01-01,38.0,82,12.3,13.8,Foggy
Madhya Pradesh,1987-12-01,25.0,68,131.6,13.6,Cloudy
Kerala,2002-04-01,23.5,83,121.1,0.8,Sunny
Uttar Pradesh,2023-06-01,32.1,22,70.7,2.4,Cloudy
Meghalaya,2018-07-01,25.1,89,226.0,7.9,Foggy
Maharashtra,2020-01-01,17.1,20,102.5,3.9,Sunny
Rajasthan,1998-07-01,14.6,24,233.4,12.6,Rainy
Chhattisgarh,2020-01-01,16.5,33,43.5,7.1,Cloudy
Jharkhand,2006-04-01,32.6,59,186.5,0.9,Cloudy
Kerala,2020-02-01,16.6,26,94.2,5.9,Cloudy
Manipur,1988-06-01,11.4,99,274.1,5.8,Sunny
Rajasthan,2021-07-01,27.6,56,84.7,6.9,Foggy
Andhra Pradesh,1986-03-01,18.4,43,240.0,5.5,Stormy
Mizoram,2023-03-01,38.8,27,202.5,9.0,Foggy
Bihar,2004-06-01,22.6,88,210.6,2.6,Sunny
Nagaland,2002-07-01,16.3,61,298.8,3.0,Foggy
Assam,2022-02-01,19.5,53,209.1,11.7,Cloudy
Haryana,1989-04-01,11.6,90,229.3,6.8,Sunny
Tamil Nadu,2010-02-01,19.9,47,140.7,1.3,Stormy
Tripura,1999-06-01,24.7,58,124.7,8.1,Stormy
Goa,2007-08-01,21.8,96,199.6,9.9,Cloudy
Telangana,2013-12-01,34.0,81,273.5,8.2,Sunny
Punjab,1998-09-01,23.6,41,14.3,9.3,Stormy
Tripura,2018-11-01,38.8,50,21.0,6.1,Rainy
Madhya Pradesh,1998-10-01,36.9,90,78.9,5.2,Foggy
Punjab,2002-10-01,18.4,87,184.4,8.9,Rainy
Haryana,1989-02-01,12.8,52,221.8,11.7,Cloudy
Uttarakhand,2019-11-01,19.0,30,262.1,5.5,Rainy
Haryana,2020-07-01,32.8,66,70.6,11.4,Sunny
Karnataka,2006-05-01,33.0,98,75.7,7.4,Sunny
Bihar,2007-06-01,22.3,39,239.4,4.6,Foggy
Jharkhand,2021-02-01,19.9,62,12.3,12.3,Sunny
Madhya Pradesh,1992-05-01,21.6,100,240.2,10.7,Foggy
Manipur,1990-02-01,16.2,60,176.3,2.0,Foggy
Uttarakhand,2017-07-01,10.7,86,85.1,7.8,Cloudy
Tripura,2001-03-01,16.1,72,50.9,2.8,Foggy
Manipur,1989-12-01,15.5,79,43.1,2.7,Rainy
Manipur,1987-04-01,35.8,94,204.0,10.0,Stormy
Odisha,2005-02-01,12.6,78,152.4,0.8,Stormy
Haryana,2024-04-01,33.9,58,59.1,4.9,Stormy
Uttarakhand,1992-03-01,11.0,73,286.1,7.1,Rainy
Punjab,1990-10-01,12.6,66,180.1,13.6,Foggy
Mizoram,2013-08-01,34.1,51,84.9,1.9,Sunny
Tripura,1995-08-01,31.8,73,269.0,6.8,Sunny
Goa,2013-05-01,24.5,45,59.5,11.6,Stormy
Manipur,1985-08-01,24.8,41,277.4,4.4,Foggy
Andhra Pradesh,2020-03-01,39.6,22,246.7,7.6,Cloudy
Uttar Pradesh,2003-06-01,38.8,50,133.6,7.8,Stormy
Uttarakhand,2013-12-01,25.6,65,70.9,14.6,Foggy
Uttarakhand,2024-02-01,29.6,62,210.1,10.6,Sunny
Sikkim,1985-07-01,39.0,22,235.4,5.7,Cloudy
Punjab,2000-11-01,12.6,74,43.9,8.8,Foggy
Chhattisgarh,1985-08-01,18.3,51,262.2,9.7,Stormy
Himachal Pradesh,1994-04-01,27.6,65,230.3,12.2,Stormy
Mizoram,1995-10-01,39.6,64,66.1,10.1,Sunny
Nagaland,1987-07-01,37.0,55,211.0,0.5,Foggy
Punjab,1994-05-01,21.1,44,211.6,14.2,Cloudy
Odisha,1989-10-01,38.0,24,93.0,12.8,Rainy
Haryana,2001-08-01,22.6,29,57.4,1.9,Stormy
Maharashtra,2022-01-01,24.4,58,73.7,2.0,Cloudy
Arunachal Pradesh,2016-08-01,36.8,78,48.8,6.0,Cloudy
Mizoram,1993-08-01,34.2,25,66.8,10.6,Foggy
Telangana,2019-06-01,30.0,43,158.4,9.6,Stormy
Nagaland,2016-03-01,17.0,38,188.5,1.5,Cloudy
Mizoram,2023-12-01,36.5,27,208.2,3.9,Stormy
Chhattisgarh,2009-01-01,29.6,23,258.6,8.0,Sunny
Sikkim,2007-02-01,39.0,70,171.2,11.9,Rainy
Haryana,1994-10-01,15.8,37,75.7,10.2,Rainy
Madhya Pradesh,1989-04-01,37.4,48,58.7,6.5,Foggy
Odisha,2002-10-01,34.2,28,274.9,14.6,Sunny
Nagaland,2005-05-01,27.6,29,188.1,0.2,Stormy
Mizoram,2011-03-01,25.2,92,107.5,6.1,Foggy
Tamil Nadu,2016-02-01,17.7,20,176.5,1.7,Foggy
Uttar Pradesh,2002-02-01,37.7,26,254.7,9.1,Foggy
Bihar,1997-01-01,36.0,50,75.9,0.8,Foggy
Uttarakhand,2000-05-01,37.7,64,63.5,9.7,Foggy
Himachal Pradesh,2009-06-01,31.7,47,41.7,3.5,Foggy
Mizoram,1997-12-01,10.4,49,67.1,11.7,Sunny
Tripura,1985-03-01,34.4,77,184.5,0.6,Stormy
Manipur,2005-03-01,20.0,39,12.7,2.8,Cloudy
Rajasthan,1994-01-01,26.7,44,192.7,3.4,Stormy
Manipur,1999-02-01,20.9,44,36.4,4.9,Rainy
Kerala,2018-04-01,27.0,96,141.7,11.8,Cloudy
Kerala,1998-07-01,12.5,64,227.0,8.9,Foggy
Rajasthan,2001-06-01,38.3,30,17.7,8.6,Sunny
Telangana,2015-11-01,30.2,48,232.4,8.3,Cloudy
Odisha,1988-08-01,33.0,32,175.1,8.2,Sunny
Maharashtra,1993-01-01,24.8,89,34.8,4.6,Stormy
Manipur,2012-04-01,17.2,23,219.7,0.6,Rainy
Manipur,1989-02-01,19.6,98,50.3,10.7,Stormy
Manipur,2022-01-01,14.9,25,149.3,7.9,Sunny
Kerala,2014-01-01,19.9,75,89.2,1.8,Foggy
Uttar Pradesh,2020-12-01,10.7,86,122.9,7.9,Rainy
Haryana,2003-03-01,18.5,63,13.2,9.0,Stormy
Mizoram,2017-11-01,31.8,25,191.1,10.3,Cloudy
Assam,2005-12-01,11.7,32,210.8,5.9,Cloudy
Goa,2010-12-01,13.1,41,276.0,2.6,Cloudy
Goa,2019-02-01,24.4,79,214.5,5.8,Stormy
Tamil Nadu,2008-07-01,21.8,68,202.8,2.8,Rainy
Madhya Pradesh,2001-12-01,21.0,84,216.7,12.7,Sunny
Tripura,2017-05-01,39.2,89,245.9,7.3,Cloudy
Tamil Nadu,2005-07-01,22.1,60,111.5,4.1,Rainy
Telangana,1998-03-01,10.4,66,193.1,6.4,Stormy
Goa,2019-09-01,23.2,29,64.0,10.5,Rainy
Tamil Nadu,2002-12-01,29.4,72,187.1,5.7,Rainy
Jharkhand,2001-07-01,20.3,61,143.2,5.2,Foggy
Punjab,2021-03-01,31.1,56,225.4,13.5,Foggy
Kerala,2017-05-01,15.0,97,152.4,11.5,Rainy
Arunachal Pradesh,2024-09-01,14.4,85,12.9,0.8,Stormy
Himachal Pradesh,1998-09-01,26.0,70,228.8,2.8,Stormy
Madhya Pradesh,2018-07-01,24.0,73,178.8,14.3,Rainy
Nagaland,2020-07-01,39.2,67,232.9,0.0,Rainy
Manipur,2003-01-01,26.0,95,143.5,12.0,Foggy
Manipur,2006-07-01,36.3,22,198.8,7.6,Stormy
Mizoram,1995-05-01,33.3,43,66.0,11.4,Cloudy
Maharashtra,2005-07-01,27.2,21,6.9,10.0,Sunny
Arunachal Pradesh,1998-06-01,20.2,24,168.8,0.1,Cloudy
Jharkhand,2024-12-01,16.0,78,96.5,6.0,Rainy
Telangana,1988-03-01,32.9,68,211.9,7.2,Cloudy
Nagaland,1997-12-01,17.0,85,12.1,5.5,Cloudy
Uttarakhand,1998-10-01,27.8,32,59.2,6.9,Rainy
Chhattisgarh,1986-04-01,23.6,98,69.8,13.1,Cloudy
Kerala,1987-08-01,18.9,33,178.7,4.2,Sunny
Mizoram,2007-08-01,29.4,63,125.1,1.1,Cloudy
Meghalaya,1995-03-01,38.2,47,0.4,14.0,Sunny
Andhra Pradesh,1992-03-01,30.4,43,280.0,0.6,Rainy
Rajasthan,2005-05-01,12.9,95,285.6,14.4,Foggy
Gujarat,1999-07-01,10.9,34,267.7,10.6,Rainy
Nagaland,2011-01-01,26.2,78,85.1,12.6,Cloudy
West Bengal,1991-04-01,32.7,28,173.8,6.3,Sunny
Kerala,1995-04-01,12.6,58,160.4,5.2,Foggy
Telangana,2006-09-01,35.5,48,56.2,5.7,Rainy
Maharashtra,1993-07-01,37.9,71,18.3,0.0,Foggy
Tamil Nadu,2006-10-01,11.3,82,68.3,2.9,Stormy
Haryana,2017-05-01,31.3,92,36.0,6.9,Cloudy
Maharashtra,2019-04-01,25.6,48,250.9,9.8,Cloudy
Maharashtra,1986-05-01,15.9,60,246.6,11.3,Sunny
Himachal Pradesh,2004-10-01,32.2,80,114.5,11.0,Foggy
Mizoram,2001-09-01,15.2,85,136.8,14.6,Stormy
Chhattisgarh,1993-12-01,38.3,34,162.2,2.5,Foggy
Punjab,2017-07-01,12.3,68,25.9,9.1,Stormy
Sikkim,2001-12-01,35.6,35,144.3,9.7,Sunny
Manipur,2001-06-01,11.2,25,3.5,13.0,Cloudy
Madhya Pradesh,1996-05-01,39.1,45,21.5,3.7,Foggy
Gujarat,1985-09-01,27.9,24,47.6,9.8,Cloudy
Himachal Pradesh,2020-10-01,13.8,91,56.2,12.1,Stormy
Meghalaya,2017-03-01,39.4,92,209.7,9.4,Stormy
Rajasthan,1998-05-01,22.5,24,175.5,3.7,Stormy
Goa,1990-06-01,38.6,37,295.0,11.0,Stormy
Manipur,1993-06-01,26.2,78,124.1,9.0,Cloudy
Manipur,2009-06-01,19.7,37,130.9,10.6,Cloudy
Bihar,2021-11-01,13.1,36,241.6,9.9,Sunny
Sikkim,2004-12-01,38.8,66,101.9,14.2,Foggy
Tamil Nadu,1999-05-01,14.8,74,284.0,4.2,Stormy
Maharashtra,2007-06-01,39.7,57,185.4,5.7,Foggy
Assam,1990-08-01,23.5,68,193.7,12.7,Foggy
Bihar,2020-10-01,28.7,51,210.1,14.8,Cloudy
Gujarat,1994-04-01,35.3,71,15.6,0.2,Rainy
Andhra Pradesh,1987-04-01,21.6,21,253.7,13.0,Cloudy
Arunachal Pradesh,2013-07-01,32.2,54,208.2,14.8,Foggy
Uttar Pradesh,2022-12-01,24.8,79,285.0,10.1,Foggy
Haryana,2007-11-01,19.2,71,169.5,12.6,Sunny
Tamil Nadu,1992-09-01,31.1,20,271.1,0.0,Stormy
Assam,1999-01-01,20.9,76,76.5,8.5,Stormy
Tamil Nadu,1993-04-01,38.0,29,158.4,9.5,Sunny
Punjab,1989-08-01,16.4,98,277.1,0.7,Foggy
Manipur,1988-09-01,10.1,37,256.7,8.8,Cloudy
Himachal Pradesh,1994-07-01,14.8,99,44.0,8.3,Sunny
Goa,2002-11-01,38.4,92,119.9,7.7,Rainy
Mizoram,2000-09-01,34.3,23,233.4,8.1,Foggy
Haryana,2017-02-01,14.9,86,197.5,4.9,Rainy
Haryana,2023-11-01,23.0,26,190.9,4.6,Foggy
Andhra Pradesh,2013-09-01,30.0,26,64.6,8.9,Sunny
West Bengal,2023-02-01,25.0,68,223.2,11.3,Cloudy
Uttar Pradesh,1988-02-01,36.1,32,95.9,6.8,Sunny
Uttar Pradesh,1996-05-01,16.8,76,139.4,3.4,Rainy
West Bengal,2016-02-01,16.0,43,268.2,0.1,Rainy
Uttarakhand,2015-07-01,15.6,45,117.9,1.7,Foggy
Mizoram,2006-01-01,16.0,71,89.0,11.3,Foggy
Gujarat,2019-04-01,11.3,91,101.0,5.9,Rainy
Andhra Pradesh,2015-05-01,26.3,61,229.0,5.8,Stormy
West Bengal,2006-10-01,10.3,51,136.1,6.8,Sunny
Tripura,1997-02-01,32.9,21,194.1,3.3,Rainy
Andhra Pradesh,2023-05-01,12.3,33,15.7,8.4,Rainy
Telangana,2018-07-01,12.8,86,122.7,11.3,Sunny
Sikkim,1995-07-01,35.2,73,13.4,0.4,Rainy
Odisha,2005-10-01,11.4,89,245.7,9.6,Stormy
Haryana,1990-06-01,29.8,20,272.1,12.7,Foggy
Meghalaya,1996-10-01,24.7,21,24.2,10.7,Cloudy
Rajasthan,2012-02-01,28.7,69,86.7,2.2,Cloudy
Kerala,2000-10-01,20.9,29,214.4,6.6,Rainy
Uttarakhand,2018-11-01,21.2,40,109.9,0.1,Foggy
Madhya Pradesh,2014-08-01,39.8,31,135.7,0.2,Rainy
Odisha,2009-10-01,26.2,31,167.7,3.8,Rainy
West Bengal,2012-02-01,28.2,97,247.2,9.7,Rainy
Uttar Pradesh,1986-10-01,38.5,71,156.8,12.9,Sunny
Uttar Pradesh,2006-04-01,36.9,55,153.9,10.5,Sunny
Odisha,2019-09-01,39.8,95,44.9,14.8,Foggy
Uttarakhand,2009-10-01,29.4,60,15.6,12.0,Stormy
Andhra Pradesh,2011-07-01,14.1,55,222.4,10.7,Foggy
Bihar,1998-01-01,20.2,52,11.3,3.8,Cloudy
Telangana,2003-02-01,19.8,46,23.3,12.4,Stormy
Telangana,1986-10-01,30.5,26,245.9,2.3,Stormy
Maharashtra,1992-09-01,16.2,68,101.8,6.7,Foggy
Tripura,2001-02-01,26.9,27,85.4,14.3,Sunny
Goa,2004-05-01,31.2,61,128.2,0.5,Stormy
Himachal Pradesh,1992-06-01,37.6,41,13.5,5.9,Cloudy
Haryana,1994-05-01,15.1,37,105.8,0.9,Stormy
Telangana,1985-09-01,26.7,90,25.8,10.3,Cloudy
Sikkim,1986-12-01,10.4,27,115.5,2.3,Foggy
Goa,2004-12-01,24.8,54,190.5,12.9,Stormy
Goa,2015-11-01,12.7,75,245.8,13.1,Rainy
Uttarakhand,1990-04-01,20.3,99,162.1,0.2,Foggy
Uttarakhand,1990-08-01,27.4,73,115.8,2.0,Rainy
Punjab,2020-03-01,37.9,71,17.9,7.2,Stormy
Odisha,2021-06-01,39.2,89,196.4,1.4,Stormy
Arunachal Pradesh,2022-12-01,17.0,23,78.8,7.4,Rainy
Sikkim,2000-09-01,38.0,59,121.3,9.3,Stormy
Chhattisgarh,2007-12-01,34.4,74,108.4,11.9,Stormy
Sikkim,1985-01-01,30.3,67,292.5,9.7,Foggy
Mizoram,2022-03-01,33.0,64,163.5,2.2,Stormy
Punjab,2019-01-01,14.2,77,18.9,1.7,Foggy
Mizoram,2016-06-01,20.6,47,72.0,12.4,Sunny
Andhra Pradesh,2002-08-01,36.0,41,27.4,9.9,Sunny
Punjab,2020-09-01,32.9,74,209.5,9.6,Stormy
Meghalaya,2018-06-01,16.0,56,277.3,11.8,Rainy
Sikkim,2004-02-01,17.2,79,116.4,13.4,Stormy
Punjab,2001-01-01,32.9,70,216.5,13.8,Stormy
Goa,1990-01-01,19.3,61,255.5,1.0,Sunny
Bihar,2022-12-01,15.8,80,20.5,9.9,Foggy
Himachal Pradesh,2014-09-01,14.7,57,275.3,0.4,Foggy
Himachal Pradesh,2003-05-01,20.4,86,38.7,10.8,Foggy
West Bengal,2021-09-01,27.8,97,250.2,6.1,Stormy
Punjab,1997-06-01,21.6,20,122.9,9.0,Stormy
Arunachal Pradesh,1990-02-01,15.0,53,191.3,2.2,Foggy
Arunachal Pradesh,2004-03-01,35.5,30,46.1,11.3,Rainy
Nagaland,2007-01-01,34.8,79,24.9,0.3,Cloudy
Tripura,2021-10-01,31.4,50,48.2,10.6,Sunny
Haryana,2011-09-01,31.9,26,262.2,7.5,Stormy
Bihar,2024-10-01,20.3,76,230.3,10.6,Cloudy
Punjab,2015-07-01,11.4,31,40.3,7.2,Sunny
Meghalaya,2020-01-01,17.1,29,67.1,1.0,Cloudy
Goa,2017-09-01,29.7,74,275.0,7.8,Rainy
Odisha,2006-08-01,18.4,65,293.3,6.1,Foggy
Maharashtra,1986-08-01,30.5,83,191.5,5.1,Foggy
Chhattisgarh,1998-11-01,37.2,56,131.0,12.5,Cloudy
Uttarakhand,1999-07-01,29.1,69,8.4,6.6,Foggy
Assam,1985-10-01,12.0,93,23.4,13.3,Sunny
Telangana,2018-06-01,32.6,90,296.9,1.6,Rainy
Gujarat,1993-09-01,24.9,76,155.7,6.9,Sunny
Tripura,2022-12-01,30.8,40,183.0,1.4,Rainy
Chhattisgarh,2024-03-01,32.3,40,246.6,13.1,Stormy
Karnataka,1992-07-01,10.1,46,48.3,0.2,Foggy
Uttarakhand,1991-07-01,39.1,93,116.3,4.6,Rainy
West Bengal,2021-05-01,15.4,31,15.0,10.2,Cloudy
Telangana,2008-05-01,23.9,78,217.5,8.0,Rainy
Tamil Nadu,2010-05-01,11.2,69,65.2,9.1,Stormy
Uttarakhand,2001-03-01,17.9,82,155.3,8.8,Foggy
West Bengal,2013-10-01,19.6,24,115.9,5.4,Cloudy
West Bengal,1999-09-01,32.5,97,116.6,14.5,Foggy
Gujarat,1985-06-01,34.5,44,263.0,13.8,Stormy
Maharashtra,1995-04-01,31.1,21,110.1,9.0,Sunny
Maharashtra,1990-11-01,13.1,45,39.6,11.7,Rainy
Chhattisgarh,1986-09-01,35.5,79,134.7,1.7,Foggy
Punjab,1991-03-01,26.0,93,240.8,7.1,Stormy
Mizoram,2022-08-01,32.1,41,3.1,11.6,Sunny
Karnataka,2003-09-01,31.5,44,153.7,5.4,Rainy
Manipur,2018-05-01,30.4,93,247.4,0.1,Foggy
Kerala,2023-04-01,31.5,37,199.2,2.5,Stormy
Tripura,2024-09-01,33.3,89,108.4,9.0,Sunny
Haryana,2001-11-01,36.8,90,19.6,8.1,Stormy
West Bengal,2009-10-01,21.6,74,55.5,11.5,Rainy
Bihar,1988-06-01,37.2,70,41.8,8.1,Rainy
Uttarakhand,1999-04-01,29.7,31,295.5,12.1,Rainy
Manipur,1993-11-01,24.6,80,285.1,2.5,Cloudy
West Bengal,2018-06-01,33.8,64,199.1,10.6,Foggy
Telangana,2002-05-01,33.8,94,101.4,5.3,Foggy
Arunachal Pradesh,2009-04-01,16.6,27,202.0,6.0,Cloudy
Maharashtra,2020-09-01,16.7,62,127.2,13.9,Sunny
Andhra Pradesh,1986-05-01,27.3,28,233.2,9.1,Stormy
Manipur,1986-11-01,35.5,37,102.5,13.0,Rainy
Himachal Pradesh,2014-07-01,23.2,73,58.8,7.4,Stormy
Rajasthan,1998-11-01,23.0,80,159.3,1.5,Foggy
Nagaland,2001-11-01,25.3,41,30.2,1.7,Rainy
Odisha,1998-11-01,14.7,75,10.8,6.5,Rainy
Haryana,1991-04-01,28.8,53,44.7,3.2,Cloudy
Manipur,2000-03-01,22.6,91,184.9,9.4,Stormy
West Bengal,2006-05-01,20.8,100,273.3,10.4,Cloudy
Andhra Pradesh,2013-10-01,37.2,66,158.5,3.6,Sunny
Uttar Pradesh,2000-07-01,24.7,74,44.0,9.8,Sunny
Kerala,2001-12-01,25.6,52,82.5,7.9,Cloudy
Bihar,2009-12-01,13.8,22,168.5,8.0,Rainy
Mizoram,2011-05-01,13.3,37,238.7,8.4,Foggy
Haryana,2013-10-01,33.2,29,239.6,10.2,Sunny
Bihar,1989-03-01,31.8,72,154.0,6.4,Foggy
Manipur,2023-07-01,26.2,84,93.0,8.4,Sunny
Kerala,1997-10-01,38.8,83,194.5,13.3,Sunny
Kerala,2019-07-01,14.9,54,165.5,13.7,Rainy
Assam,1989-11-01,38.9,72,123.2,8.3,Sunny
Jharkhand,1996-06-01,20.1,35,116.6,7.5,Foggy
Maharashtra,2015-11-01,13.8,43,298.0,11.1,Stormy
Tamil Nadu,2006-06-01,24.9,67,5.6,11.6,Cloudy
Haryana,2002-07-01,34.7,75,240.5,7.3,Rainy
West Bengal,2018-12-01,39.4,48,82.8,13.1,Stormy
Uttarakhand,2015-05-01,37.1,81,208.1,0.2,Cloudy
Manipur,1989-01-01,27.6,67,223.6,6.4,Foggy
Manipur,2002-08-01,18.8,90,67.9,3.7,Cloudy
Manipur,2000-07-01,23.1,54,226.8,1.3,Stormy
Punjab,2016-06-01,40.0,26,169.8,11.6,Rainy
Andhra Pradesh,2017-05-01,28.2,100,119.3,9.4,Rainy
Chhattisgarh,1999-02-01,29.7,37,213.4,2.6,Rainy
Meghalaya,1989-09-01,10.7,72,145.1,3.2,Stormy
Maharashtra,1985-07-01,19.8,99,291.0,5.4,Stormy
Madhya Pradesh,2020-12-01,31.0,68,220.0,5.8,Foggy
Andhra Pradesh,2012-05-01,17.7,83,49.2,12.3,Rainy
Tamil Nadu,1995-01-01,36.9,31,257.2,3.1,Sunny
Sikkim,1989-03-01,19.3,63,30.3,13.6,Sunny
Goa,2018-04-01,28.7,47,278.5,6.1,Rainy
Andhra Pradesh,2004-02-01,30.0,62,243.7,2.2,Foggy
Bihar,1993-09-01,32.8,27,152.0,4.1,Sunny
Maharashtra,2008-09-01,10.4,41,104.2,3.6,Rainy
Mizoram,1994-11-01,16.1,49,32.9,7.8,Cloudy
Mizoram,2005-12-01,14.3,61,40.0,13.7,Sunny
Andhra Pradesh,2023-07-01,37.7,78,58.5,0.8,Cloudy
Bihar,2019-04-01,25.9,84,122.5,1.1,Sunny
Telangana,2022-08-01,34.9,51,203.7,13.6,Rainy
Maharashtra,2009-01-01,23.3,71,237.1,10.7,Rainy
Himachal Pradesh,2020-06-01,29.8,32,185.6,12.5,Rainy
Arunachal Pradesh,2024-03-01,31.5,29,226.1,10.7,Foggy
